geography code,Percent no qualifications 16 and over,Percent bad and very band health,Population density per km,Percent lone family household
E01000288,13.31738437,2.905100065,4940.7,4.674796748
E01000289,25.90799031,6.826801517,6355.6,11.33858268
E01000290,23.20768662,5.367057372,4500,6.601941748
E01000291,19.82272361,7.307692308,2726.1,6.785137318
E01000292,14.1509434,3.886010363,2318.6,6.589595376
E01000293,9.1218516,2.76523702,9034.1,3.840682788
E01000294,12.60898726,5.356156819,7390.1,6.19266055
E01000295,11.26025354,3.157894737,3364.6,7.323232323
E01000296,10.25290499,3.025210084,4699.9,3.81097561
E01000297,17.02493551,3.450704225,5616.9,4.954954955
E01000298,11.35714286,3.50262697,1327.1,4.322200393
E01000299,18.1665735,4.46146913,5726.3,4.221635884
E01000300,10.40723982,3.479304139,5032,3.787103378
E01000301,8.950086059,2.272727273,1399.3,5.5028463
E01000302,16.11374408,5.11679644,1121.8,3.278688525
E01000303,10.39729501,2.931379081,5481.5,5.331179321
E01000304,13.3748056,3.789338471,5168.3,4.088050314
E01000305,19.82570806,5.483672212,3374.8,6.358381503
E01000306,26.75804529,3.351955307,7252.2,6.4
E01000307,22.97808012,4.96969697,3580.7,5.616224649
E01000308,14.78753541,4.075829384,3618,5.756929638
E01000309,16.71714113,2.925402243,2898.6,6.031746032
E01000310,18.97407612,5.742935278,3091.7,2.163833076
E01000311,12.06322795,1.75042349,3793.2,3.988603989
E01000312,25.18926359,5.316742081,2375.1,3.072983355
E01000313,21.85897436,4.89216202,4832,4.545454545
E01000314,14.29353779,2.862419206,3596.3,3.668261563
E01000315,22.30989957,7.180694526,4930.4,4.864091559
E01000316,15.74585635,4.724409449,5055.3,4.021447721
E01000317,15.06309148,4.614412137,663.5,2.362204724
E01000318,18.48523748,5.096203848,3384.6,4.297520661
E01000319,11.63003663,3.205128205,4669.1,2.802359882
E01000320,13.26720397,3.826266805,6627.2,4.223227753
E01000321,16.47486372,4.028556859,2593.8,3.42019544
E01000322,14.55912509,5.64516129,981.8,4.16
E01000323,22.29458918,5.198647506,1330.1,4.259259259
E01000324,16.35610766,3.659202622,1851.6,2.213666987
E01000325,13.90334572,2.369380316,9082.9,4.744525547
E01000326,15.52210724,3.113685735,772.9,4.809619238
E01000327,16.4893617,3.316953317,3902.6,5.963938974
E01000328,17.0212766,5.009163103,6240.2,3.957219251
E01000329,15.26832955,4.542772861,3528.9,4.189189189
E01000330,23.02631579,5.367913148,3375.4,3.789126853
E01000331,20.63369397,6.986382475,2708.4,4.869762174
E01000332,20.18209408,5.210295041,3652.8,4.183535762
E01000333,22.25913621,5.164319249,5425.2,2.312138728
E01000334,21.12036336,4.47761194,1012.2,5.894308943
E01000335,19.68911917,3.558327219,1297.6,5.283018868
E01000336,22.49158249,6.056056056,2872.3,6.376360809
E01000337,18.97590361,3.626943005,2106.9,3.33863275
E01000338,16.81415929,3.291958985,623.3,3.660565724
E01000339,17.58326878,5.373687461,2253.9,2.065217391
E01000340,18.33202203,4.166666667,2187.9,3.386004515
E01000341,20.74592075,5.569948187,3719.3,2.321981424
E01000342,17.33870968,3.346456693,1015.9,2.81124498
E01000343,17.5787728,2.915838304,1675.7,5.612244898
E01000344,14.42901235,4.773869347,4338.4,5.07518797
E01000345,16.20879121,2.684563758,5091.5,4.255319149
E01000346,18.50117096,3.274559194,148.9,1.443001443
E01000347,20.58584215,4.142011834,2582,1.663585952
E01000348,11.51960784,2.445472571,3645.3,3.550295858
E01000349,15.17792302,4.236796286,180.1,2.608695652
E01000350,13.44884488,2.826379542,2194.6,1.792114695
E01000351,16.6793025,4.52853598,1802.4,1.578192253
E01000352,20.48099302,4.135802469,3407.3,3.856749311
E01000353,19.81268012,4.153940134,1209,2.882882883
E01000354,18.97810219,5.566733736,3162.9,3.393213573
E01000355,21.36474411,4.580152672,1156.6,3.023758099
E01000356,21.44540456,4.783163265,5244.3,3.818615752
E01000357,13.9061116,2.141327623,1855.2,3.676470588
E01000358,16.1385409,2.955367913,815.3,2.928257687
E01000359,15.77946768,3.721298496,3393.8,3.025718608
E01000360,18.01282051,2.882599581,4752.3,4.811715481
E01000361,17.54523997,3.58490566,11211.6,3.276353276
E01000362,15.65217391,4.726100967,2142,5.189340813
E01000363,15.06740682,3.784477229,588.3,4.242424242
E01000364,14.5280236,4.240282686,3886.7,3.412969283
E01000365,19.91373113,4.345307068,5910.3,2.304609218
E01000366,15.17925248,2.745576571,4823.4,3.709677419
E01000367,21.27532777,4.766107679,6314.4,1.990049751
E01000368,22.92332268,5.952380952,3515.3,1.914580265
E01000369,20.77363897,5.037637522,6251.1,3.327171904
E01000370,18.32178599,4.428754814,3400,2.337228715
E01000371,14.96124031,3.395061728,3417.6,2.033898305
E01000372,22.54601227,6.505026611,2004.5,1.806451613
E01000373,13.68653422,3.698113208,44.8,2.5
E01000374,24.38402719,6.273764259,1356,2.161383285
E01000375,14.60742544,3.618421053,29.5,3.043968433
E01000376,16.42023346,3.343653251,1195.9,2.266666667
E01000377,15.59934319,4.274084125,710.2,3.370786517
E01000379,16.69085631,5.432242991,2597.8,3.951367781
E01000380,24.24037812,6.50921659,6431.3,3.442879499
E01000381,22.49216301,6.802721088,4800.3,5.177514793
E01000382,15.703125,3.880407125,1852.5,2.553191489
E01000383,20.0462606,4.959196485,5863.1,4.527296937
E01000384,16.27408994,3.958090803,2446.7,2.328589909
E01000385,20.52489906,6.377678127,3770.7,4.250559284
E01000386,24.35064935,10.27976578,4901.5,4.572564612
E01000387,17.83489097,4.804612428,4446.9,4.198473282
E01000388,19.31818182,3.835978836,5050.8,3.480589023
E01000389,16.59451659,4.705882353,4773.9,3.429602888
E01000390,17.55368814,3.453453453,3994.5,3.022339028
E01000391,18.22157434,3.661327231,3212.6,3.053435115
E01000392,18.04812834,3.525804803,2269.6,4.674796748
E01000393,15.54559043,2.772861357,5782.4,5.409836066
E01000394,16.19190405,6.4,4124.9,2.966101695
E01000395,16.90590112,2.812295618,5188.7,3.301886792
E01000396,18.23681936,2.685950413,5334,3.963414634
E01000398,22.58064516,5.90081607,5060.3,6.52866242
E01000399,19.68992248,3.500954806,6516.9,6.045751634
E01000400,20.64965197,3.244274809,3492,5.640243902
E01000401,28.66941015,7.446221732,4898.5,5.617977528
E01000402,22.35673931,5.36159601,2601.6,4.624277457
E01000403,24.12663755,6.283811902,3376.4,6.213017751
E01000404,16.98224852,3.838217086,2437.3,4.927782498
E01000405,16.78082192,3.489847716,1072.6,3.311258278
E01000406,16.02002503,2.986467569,5218.1,3.733766234
E01000407,19.36758893,5.082932049,4002.9,3.361344538
E01000408,20.49180328,4.622322435,2973.5,1.639344262
E01000409,18.18181818,2.469844917,4449.6,2.318392581
E01000410,15.03875969,2.172601086,5212.9,2.477876106
E01000411,19.65460526,4.016064257,1470.9,1.335113485
E01000412,14.86584482,3.114382786,2659.2,2.92942743
E01000413,19.48764867,3.340757238,4126.7,3.329065301
E01000414,19.24577373,3.959873284,3469.6,2.339776195
E01000415,14.86596263,3.686006826,838.2,3.140703518
E01000416,22.79355334,3.678724709,5956.7,3.645007924
E01000417,17.42260619,4.88786659,7331.5,4.116638079
E01000418,16.81937173,3.184386235,4786.2,4.898648649
E01000419,22.39288601,5.150501672,5704.3,4.84496124
E01000420,20.66182405,4.20499343,6670.7,6.570302234
E01000421,20.79439252,3.747534517,4159.3,4.395604396
E01000422,19.36799185,4.110612855,3022.8,4.294478528
E01000423,13.62586605,3.4847542,3051.1,4.775022957
E01000424,12.84953395,5.500868558,3876.9,3.29531052
E01000425,16.86086361,3.944444444,5360.7,6.446280992
E01000426,12.07906296,3.590664273,2697.3,4.329608939
E01000427,17.23930078,4.525111885,6707.9,7.558139535
E01000428,19.79565773,6.309148265,105.1,2.705627706
E01000429,21.66123779,5.197873597,572.6,3.260869565
E01000430,18.03278689,3.512195122,307.4,3.058103976
E01000431,22.02643172,5.916666667,179.1,2.795031056
E01000433,25.66248257,5.365355135,1465.3,2.714440825
E01000434,25.51271534,6.905210295,11303.3,3.562005277
E01000435,22.09606987,5.036937542,6265.9,3.193033382
E01000436,17.09585122,2.616609784,5478.5,3.025936599
E01000437,19.83769161,2.838427948,8709.7,3.697996918
E01000438,17.61942052,3.495260664,9568.9,4.733727811
E01000439,20.52919708,4.143258427,6880.7,4.113475177
E01000440,19.72789116,3.754512635,5378,4.275092937
E01000441,22.3476298,4.99445061,1854.8,3.05403289
E01000442,19.15204678,4.764740917,625.7,3.068592058
E01000443,19.42857143,6.015037594,3414.5,3.941605839
E01000444,12.72860278,2.375152253,265.3,3.53460972
E01000445,15.47531319,3.721488595,2777.1,2.985074627
E01000446,11.70212766,2.724252492,349,3.746397695
E01000447,13.59039191,4.441041348,2669.7,4.946524064
E01000448,13.24977619,3.043801039,1784.7,4.066073698
E01000449,13.62586605,4.417413572,1000.4,3.808680248
E01000450,17.00143472,3.775680178,4600.4,4.832214765
E01000451,18.23943662,2.457142857,2966.5,3.933434191
E01000452,15.57093426,3.098591549,2972.7,3.649635036
E01000453,15.66975569,2.77214334,568.2,2.802547771
E01000454,19.72891566,5.514705882,730.1,2.857142857
E01000455,18.1880109,2.955939766,5107,5.128205128
E01000456,15.72438163,3.654251581,4068.5,3.892215569
E01000457,14.91803279,5.195402299,7135.7,3.815937149
E01000458,14.78060046,4.285714286,2023.1,3.307086614
E01000459,18.58853182,4.861111111,3827.5,4.861878453
E01000460,10.1842871,2.379064235,767.4,4.120267261
E01000461,13.34841629,3.353658537,6604.2,4.755784062
